N° de la commande;Date de la commande;Libellé famille;Libellé sous-famille;Libellé article;Qté commandée;Qté livrée;Prix unitaire;Statut
0001000474;27/04/2015;ALIMENTS;Caprins;ECA EXCELPACK PROTOR B VRAC;3,98;3,98;326,35;Liquidé
0001000474;27/04/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,04;1 163,76;Liquidé
0001000474;27/04/2015;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;1,37;1,37;292,51;Liquidé
0001000474;27/04/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 128,90;Liquidé
0001000474;27/04/2015;ALIMENTS;Bovins lait;DYNAPACK TONUS GR VR;3,52;3,52;292,51;Liquidé
0000997429;23/04/2015;ANALYSE;Sol;RELIQUAT 1HORIZON SANS PREL;1,00;1,00;18,00;Liquidé
0000980526;02/04/2015;PHYTOSANITAIRES;Adjuvants;TECHNOMOUSSE 500 ML;1,00;1,00;20,40;Liquidé
0000980316;01/04/2015;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;5,24;5,24;388,00;Liquidé
0000974719;24/03/2015;ALIMENTS;Caprins;ECA EXCELPACK PROTOR B VRAC;6,08;6,08;326,35;Liquidé
0000974719;24/03/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,06;0,06;1 163,76;Liquidé
0000974719;24/03/2015;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;5,87;5,87;292,51;Liquidé
0000974719;24/03/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,07;0,07;1 128,90;Liquidé
0000962668;10/03/2015;PHYTOSANITAIRES;Herbicides céréales;BOFIX 5 L;15,00;15,00;13,04;Liquidé
0061899757;27/02/2015;QUINCAILLERIE EQUIPE;Piquets;PIQ.CHATAIG. 2.00M;-300,00;-300,00;2,17;Liquidé
0061899757;27/02/2015;QUINCAILLERIE EQUIPE;Piquets;PIQ.CHATAIG. 1.80M;-200,00;-200,00;1,88;Liquidé
0000950589;17/02/2015;QUINCAILLERIE EQUIPE;Piquets;PIQ.CHATAIG. 2.00M;300,00;300,00;2,17;Liquidé
0000950589;17/02/2015;QUINCAILLERIE EQUIPE;Piquets;PIQ.CHATAIG. 1.80M;200,00;200,00;1,88;Liquidé
0000950684;17/02/2015;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;90,00;90,00;16,54;Liquidé
0000950684;17/02/2015;ALIMENTS;Aliments BLOCS;BLOC SODIOLIGO 12K UNIT;6,00;6,00;0,00;Liquidé
0000948209;12/02/2015;SEMENCES;POIS SEM;POIS PRIN S KAYANNE R1 WAKIL XL  R1 S25;6,00;6,00;100,60;Liquidé
0000948209;12/02/2015;PHYTOSANITAIRES;Herbicides céréales;INTERDIT 01032015/ MEXTRA 5 L;55,00;55,00;20,45;Liquidé
0000948209;12/02/2015;PHYTOSANITAIRES;Adjuvants;MIX-IN 5 L;15,00;15,00;3,18;Liquidé
0000948209;12/02/2015;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MADIT DISPERSION 20 L;20,00;20,00;12,23;Liquidé
0000948209;12/02/2015;PHYTOSANITAIRES;Herbicides céréales;ATLANTIS WG 3 KG;9,00;9,00;123,51;Liquidé
0000946536;11/02/2015;PHYTOSANITAIRES;Herbicides maïs;ELITE 4 SC 5 L;10,00;10,00;19,03;Liquidé
0000946536;11/02/2015;PHYTOSANITAIRES;Herbicides maïs;CALLISTO 5 L;10,00;10,00;46,23;Liquidé
0000946536;11/02/2015;PHYTOSANITAIRES;Herbicides maïs;CONQUERANT 2 KG;2,00;2,00;72,80;Liquidé
0000946536;11/02/2015;PHYTOSANITAIRES;Herbicides maïs;SUPPRIME/BROMOTRIL 225 5 L;5,00;5,00;23,18;Liquidé
0000946536;11/02/2015;PHYTOSANITAIRES;Fongicides divers;FUNGISTOP FL 5 L;10,00;10,00;9,65;Liquidé
0000946536;11/02/2015;PHYTOSANITAIRES;Fongicides  céréales;AVIATOR XPRO 5L;30,00;30,00;73,50;Liquidé
0000946536;11/02/2015;PHYTOSANITAIRES;Fongicides  céréales;PROSARO 5 L;5,00;5,00;52,30;Liquidé
0000946536;11/02/2015;SEMENCES;Maïs classe a;MA.AALLEXIA    D50MG;10,00;10,00;103,22;Liquidé
0000946536;11/02/2015;SEMENCES;Maïs classe a;MA.LG30525 STD D50MG;10,00;10,00;109,61;Liquidé
0000946536;11/02/2015;SEMENCES;Maïs classe a;MA.BERGXXON DUO STD D50MG;13,00;13,00;106,37;Liquidé
0000946536;11/02/2015;SEMENCES;Divers;SORGHO ENSILAGE BMR 333  D220MG;8,00;8,00;92,19;Liquidé
0000942337;02/02/2015;ALIMENTS;Caprins;ECA EXCELPACK PROTOR B VRAC;3,86;3,86;326,35;Liquidé
0000942337;02/02/2015;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,04;1 163,76;Liquidé
0000942337;02/02/2015;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;5,77;5,77;292,51;Liquidé
0000942337;02/02/2015;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 128,90;Liquidé
0000941242;30/01/2015;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;15,00;15,00;371,00;Liquidé
0000941242;30/01/2015;FERTILISANTS;Engrais;UREE GR VRAC;4,00;4,00;386,00;Liquidé
0000938978;23/01/2015;QUINCAILLERIE EQUIPE;Piquets;PIQ.CHATAIG. 1.80M;200,00;200,00;1,88;Liquidé
0000938978;23/01/2015;QUINCAILLERIE EQUIPE;Piquets;PIQ.CHATAIG. 2.00M;300,00;300,00;2,17;Liquidé
0000928578;18/12/2014;ALIMENTS;Caprins;ECA EXCELPACK PROTOR B VRAC;4,14;4,14;326,35;Liquidé
0000928578;18/12/2014;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;5,63;5,63;287,46;Liquidé
0000928578;18/12/2014;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,04;1 163,76;Liquidé
0000928578;18/12/2014;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,07;0,07;1 108,19;Liquidé
0000913802;07/11/2014;SEMENCES;AVOINE SEM;AVOINE HIV S BLACK BEAUTY R1 CELGON S20;0,50;0,50;88,00;Liquidé
0000911239;31/10/2014;SEMENCES;BLE DUR SEM;BD S MIRADOUX R1 GAU VIBR D500;3,00;3,00;32,01;Liquidé
0000911239;31/10/2014;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;1,00;1,00;88,60;Liquidé
0000910348;30/10/2014;SEMENCES;Blé tendre;SUPPRIME/BTH S AREZZO R1 GAU+RED S25KG;4,00;4,00;89,60;Liquidé
0000910492;30/10/2014;ALIMENTS;Caprins;ECA EXCELPACK PROTOR B VRAC;3,70;3,70;326,35;Liquidé
0000910492;30/10/2014;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;6,19;6,19;287,46;Liquidé
0000910492;30/10/2014;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 108,19;Liquidé
0000910492;30/10/2014;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,04;1 163,76;Liquidé
0000909686;29/10/2014;ALIMENTS;Caprins;ECA EXCELPACK PROTOR M VRAC;4,00;0,00;331,35;Supprimé
0000909686;29/10/2014;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;6,00;0,00;292,46;Supprimé
0000909686;29/10/2014;ALIMENTS;Bovins lait;ALTIPLUS G.VRAC;0,06;0,00;1 022,00;Supprimé
0000909686;29/10/2014;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,04;0,00;1 163,76;Supprimé
0000907406;24/10/2014;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;2,00;2,00;88,60;Liquidé
0000907406;24/10/2014;SEMENCES;Orge hiver escourgeo;SUPPRIME/ESC S ETINCEL R1 GAU+RED S25KG;0,50;0,50;92,60;Liquidé
0000894489;22/09/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;79,35;Liquidé
0000894489;22/09/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 14m;2,00;2,00;79,35;Liquidé
0000894489;22/09/2014;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0000892018;16/09/2014;LOGISTIQUE AGROFOURN;Location semoir;LOC.SEMOIR ENGR.COOP;27,58;27,58;7,00;Liquidé
0000892104;16/09/2014;FERTILISANTS;Amendements;CALCAIRE BROYE ST PO DEPART CARRIERE;27,58;27,58;12,00;Liquidé
0000890468;12/09/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;79,35;Liquidé
0000890468;12/09/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;79,35;Liquidé
0000890468;12/09/2014;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,15;0,15;229,00;Liquidé
0000889629;10/09/2014;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;5,83;5,83;309,18;Liquidé
0000889629;10/09/2014;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 108,19;Liquidé
0000885606;02/09/2014;SEMENCES;Orge hiver escourgeo;SUPPRIME/ESC S ETINCEL R1 GAU+RED S25KG;8,00;8,00;90,69;Liquidé
0000885606;02/09/2014;SEMENCES;BLE DUR SEM;BD S MIRADOUX R1 VIBRANCE D500;53,00;53,00;24,48;Liquidé
0000885606;02/09/2014;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;9,00;9,00;86,77;Liquidé
0000885606;02/09/2014;SEMENCES;Blé tendre;SUPPRIME/BTH S AREZZO R1 GAU+RED S25KG;12,50;12,50;84,13;Liquidé
0000885606;02/09/2014;SEMENCES;Blé tendre;SUPPRIME/BTH S RUBISKO R1 GAUREDS25K;12,50;12,50;85,07;Liquidé
0000885606;02/09/2014;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;12,50;12,50;84,60;Liquidé
0000885606;02/09/2014;SEMENCES;AVOINE SEM;AVOINE HIV S BLACK BEAUTY R1 CELGON S20;10,00;10,00;86,18;Liquidé
0000874615;07/08/2014;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;7,01;7,01;309,18;Liquidé
0000874615;07/08/2014;ALIMENTS;Bovins lait;ALTIPLUS G.VRAC;0,00;0,00;0,00;Supprimé
0000874615;07/08/2014;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,08;0,08;1 108,19;Liquidé
0000856009;30/06/2014;QUINCAILLERIE EQUIPE;Ficelles;FICELLE FILOGAMM  350  BOB 5KG;2,00;2,00;11,95;Liquidé
0000853091;24/06/2014;ALIMENTS;Caprins;ECA EXCELPACK PROTOR B VRAC;4,73;4,73;337,46;Liquidé
0000853091;24/06/2014;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,05;0,05;1 163,76;Liquidé
0000853091;24/06/2014;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;5,75;5,75;303,62;Liquidé
0000853091;24/06/2014;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 108,19;Liquidé
0000849467;18/06/2014;FERTILISANTS;Engrais;UREE GR VRAC;4,96;4,96;370,00;Liquidé
0000847475;16/06/2014;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,03;0,03;229,00;Liquidé
0000847475;16/06/2014;QUINCAILLERIE EQUIPE;Ficelles;FICELLE FILOGAMM  350  BOB 5KG;6,00;6,00;11,95;Liquidé
0000840566;04/06/2014;PHYTOSANITAIRES;Herbicides maïs;INTERDIT/DICAVEL 480 5 L;5,00;5,00;32,04;Liquidé
0000831760;22/05/2014;PHYTOSANITAIRES;Insecticides pyrethr;MAVRIK FLO 1 L;1,00;1,00;65,69;Liquidé
0000829767;20/05/2014;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;2,53;2,53;381,00;Liquidé
0000828134;16/05/2014;ALIMENTS;Caprins;ECA PACK TONUS B VRAC;5,01;5,01;309,18;Liquidé
0000828134;16/05/2014;ALIMENTS;Supplémentations Ali;ALTIPLUS GR EN MELANGE;0,05;0,05;1 108,19;Liquidé
0000828142;16/05/2014;ALIMENTS;Caprins;ECA EXCELPACK PROTOR B VRAC;2,91;2,91;343,02;Liquidé
0000828142;16/05/2014;ALIMENTS;Supplémentations Ali;ALTACID  VRAC;0,03;0,03;1 163,76;Liquidé
0000826032;14/05/2014;PHYTOSANITAIRES;Anti-limaces;INT19092014-MESUROL PRO 15 KG;30,00;30,00;9,50;Liquidé
0000820395;07/05/2014;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;20,00;20,00;5,20;Liquidé
0000820395;07/05/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;79,35;Liquidé
0000820395;07/05/2014;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0000811196;24/04/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 14m;1,00;1,00;79,35;Liquidé
0000811196;24/04/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;79,35;Liquidé
0000811196;24/04/2014;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;79,35;Liquidé
0000811196;24/04/2014;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0000801061;11/04/2014;PHYTOSANITAIRES;Herbicides céréales;BOFIX 5 L;5,00;5,00;12,92;Liquidé
0000794282;04/04/2014;FERTILISANTS;Engrais;AMMONITRE 33,5%    BB;3,60;3,60;349,00;Liquidé
0000782578;20/03/2014;SEMENCES;ORGE SEM;OP S TRAVELER R1 CELORGEN S25;2,50;2,50;85,00;Liquidé
0000782578;20/03/2014;SEMENCES;POIS SEM;POIS PRIN S KAYANNE R1 WAKIL XL  R1 S25;11,00;11,00;99,80;Liquidé
0000782578;20/03/2014;PHYTOSANITAIRES;Herbicides tournesol;NIKEYL 5 L;15,00;15,00;22,61;Liquidé
0061528180;20/03/2014;SEMENCES;POIS SEM;POIS PRIN S KAYANNE R1 WAKIL XL  R1 S25;-1,25;-1,25;99,80;Liquidé
0000779985;17/03/2014;PHYTOSANITAIRES;Herbicides céréales;BOFIX 20 L;40,00;40,00;12,42;Liquidé
0000779985;17/03/2014;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MADIT DISPERSION 20 L;20,00;20,00;11,51;Liquidé
0000774611;11/03/2014;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MADIT DISPERSION 20 L;20,00;20,00;11,51;Liquidé
0000774611;11/03/2014;PHYTOSANITAIRES;Herbicides céréales;INTERDIT / MATIN EL 10 L;10,00;10,00;11,51;Liquidé
0000774611;11/03/2014;PHYTOSANITAIRES;Herbicides céréales;ATLANTIS WG 3 KG;3,00;3,00;121,07;Liquidé
0000774611;11/03/2014;PHYTOSANITAIRES;Herbicides céréales;BOFIX 20 L;60,00;60,00;12,42;Liquidé
0000774611;11/03/2014;PHYTOSANITAIRES;Adjuvants;MIX-IN 5 L;10,00;10,00;3,18;Liquidé
0000754224;29/01/2014;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;15,00;14,53;335,00;Liquidé
0000754224;29/01/2014;FERTILISANTS;Engrais;UREE GR VRAC;5,00;4,20;394,00;En cours
0000751490;21/01/2014;PHYTOSANITAIRES;Fongicides  céréales;AVIATOR XPRO 5L;30,00;30,00;72,17;Liquidé
0000751490;21/01/2014;PHYTOSANITAIRES;Fongicides  céréales;PROSARO 5 L;10,00;10,00;50,44;Liquidé
0000751490;21/01/2014;PHYTOSANITAIRES;Herbicides tournesol;NIKEYL 5 L;15,00;15,00;21,05;Liquidé
0000751490;21/01/2014;PHYTOSANITAIRES;Herbicides maïs;ELITE 4 SC 5 L;10,00;10,00;20,39;Liquidé
0000751490;21/01/2014;PHYTOSANITAIRES;Herbicides maïs;CALLISTO 5 L;15,00;15,00;45,78;Liquidé
0000751490;21/01/2014;PHYTOSANITAIRES;Fongicides divers;FUNGISTOP FL 5 L;15,00;15,00;9,45;Liquidé
0000751490;21/01/2014;SEMENCES;Maïs classe a;MA.LG3490  D50MG;10,00;10,00;101,96;Liquidé
0000751490;21/01/2014;SEMENCES;Maïs classe a;MA.LG3490 SONIDO D50MG;6,00;6,00;135,94;Liquidé
0000751490;21/01/2014;SEMENCES;Maïs classe a;MA.AALLEXIA    D50MG;4,00;4,00;105,45;Liquidé
0000751490;21/01/2014;SEMENCES;Maïs classe a;MA.BERGXXON DUO STD D50MG;4,00;4,00;105,83;Liquidé
0000751490;21/01/2014;SEMENCES;Maïs classe a;MA.BERGXXON DUO SONIDO D50MG;4,00;4,00;139,82;Liquidé
0000751491;21/01/2014;SEMENCES;Divers;SORGHO ENSILAGE BMR 333  D220MG;7,00;7,00;89,75;Liquidé
0000751491;21/01/2014;PHYTOSANITAIRES;Herbicides vigne;BOA 3 L;6,00;0,00;71,44;A livrer
0000751499;21/01/2014;SEMENCES;POIS SEM;POIS PRIN S KAYANNE R1 WAKIL XL  R1 S25;11,00;0,00;99,80;Liquidé
0000745699;06/01/2014;ANALYSE;Sol;ANALYSE AUREA COMPL GC .PREL TELEV;4,00;4,00;83,70;Liquidé
0000741440;17/12/2013;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0000737432;06/12/2013;SEMENCES;Blé dur;SUPPRIME/BD S TABLUR R1 GAU+RED S25KG;4,00;4,00;117,95;Liquidé
0000737432;06/12/2013;SEMENCES;BLE DUR SEM;BD S TABLUR R1 CELGON S25;0,75;1,00;96,95;Liquidé
0000737432;06/12/2013;SEMENCES;Blé dur;SUPPRIME/BD S TABLUR R1 GAU+RED S25KG;0,25;0,25;117,95;Liquidé
0061502628;06/12/2013;SEMENCES;BLE DUR SEM;BD S TABLUR R1 CELGON S25;-0,25;-0,25;96,95;Liquidé
0061500205;04/12/2013;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;-0,25;-0,25;88,92;Liquidé
0061500205;04/12/2013;SEMENCES;Blé tendre;SUPPRIME/BTH S ASCOTT R1 GAURED S25K;-1,00;-1,00;89,91;Liquidé
0061500205;04/12/2013;SEMENCES;Blé tendre;SUPPRIME/BTH S RUBISKO R1 GAUREDS25K;-3,50;-3,50;90,89;Liquidé
0000722453;29/10/2013;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;20,00;20,00;5,20;Liquidé
0000721521;25/10/2013;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;40,00;40,00;5,20;Liquidé
0000721521;25/10/2013;SEMENCES;Orge hiver escourgeo;SUPPRIME/ESC S ETINCEL R1 GAU+RED S25KG;0,75;0,75;97,40;Liquidé
0000719109;21/10/2013;SEMENCES;AVOINE SEM;AVOINE HIV S UNE DE MAI R1 REDIGO S25;6,50;6,50;90,80;Liquidé
0000718600;18/10/2013;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;60,00;60,00;5,20;Liquidé
0000717738;17/10/2013;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 12m;1,00;1,00;78,15;Liquidé
0000713343;07/10/2013;FERTILISANTS;Engrais;SUPER 45% GR.      VR;2,00;2,00;383,00;Liquidé
0000713343;07/10/2013;FERTILISANTS;Engrais;CHLORURE 60% GR    VR;4,00;4,00;345,00;Liquidé
0000713343;07/10/2013;LOGISTIQUE AGROFOURN;Mélange;MELANGE ENGRAIS;6,00;6,00;7,60;Liquidé
0000713343;07/10/2013;LOGISTIQUE AGROFOURN;Location semoir;LOC.SEMOIR ENGR.COOP;6,00;6,00;7,00;Liquidé
0000711365;01/10/2013;PHYTOSANITAIRES;Anti-limaces;METAREX INO 20 KG;20,00;20,00;5,20;Liquidé
0000709286;26/09/2013;LOGISTIQUE AGROFOURN;Location semoir;LOC.SEMOIR ENGR.COOP;29,66;29,66;7,00;Liquidé
0000702922;11/09/2013;SEMENCES;Orge hiver escourgeo;SUPPRIME/ESC S ETINCEL R1 GAU+RED S25KG;9,00;9,00;95,45;Liquidé
0000702922;11/09/2013;SEMENCES;BLE DUR SEM;BD S MIRADOUX R1 CELGON S25;13,50;11,50;91,21;Liquidé
0000702922;11/09/2013;SEMENCES;Blé tendre;SUPPRIME/BTH S CAPHORN R1 GAU+RED 25KG;11,00;11,00;88,93;Liquidé
0000702922;11/09/2013;SEMENCES;Blé tendre;SUPPRIME/BTH S EUCLIDE R1 GAU+RED 25KG;17,00;17,00;86,20;Liquidé
0000702922;11/09/2013;SEMENCES;Blé tendre;SUPPRIME/BTH S ASCOTT R1 GAURED S25K;3,00;3,00;89,91;Liquidé
0000702922;11/09/2013;SEMENCES;Blé tendre;SUPPRIME/BTH S RUBISKO R1 GAUREDS25K;3,50;3,50;90,89;Liquidé
0000703027;11/09/2013;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 10m;1,00;1,00;78,15;Liquidé
0000703027;11/09/2013;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;78,15;Liquidé
0000703027;11/09/2013;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,10;0,10;229,00;Liquidé
0000680751;22/07/2013;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;1,40;1,40;387,00;Liquidé
0000666952;26/06/2013;QUINCAILLERIE EQUIPE;Ficelles;FICELLE FILOGAMM  350  BOB 5KG;4,00;4,00;11,25;Liquidé
0000666952;26/06/2013;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,03;0,03;229,00;Liquidé
0000657954;12/06/2013;FERTILISANTS;Engrais;UREE GR VRAC;3,02;3,02;399,00;Liquidé
0000654311;07/06/2013;PHYTOSANITAIRES;Anti-limaces;SUPPRIME/METAREX RG TDS 20KG;2,00;2,00;100,99;Liquidé
0000654311;07/06/2013;QUINCAILLERIE EQUIPE;Recyclage;SAC ADIVALOR 500L;1,00;1,00;0,00;Liquidé
0000648607;30/05/2013;SEMENCES;Maïs classe a;MA.DKC 3912 STD D50MGR;2,00;2,00;106,75;Liquidé
0000648873;30/05/2013;PHYTOSANITAIRES;Herbicides tournesol;MERCANTOR GOLD 5 L;5,00;5,00;23,33;Liquidé
0000648873;30/05/2013;PHYTOSANITAIRES;Herbicides tournesol;NIKEYL 5 L;15,00;15,00;22,24;Liquidé
0000648895;30/05/2013;ALIMENTS;Céréales;BLE EN 25 KG CRAFT;2,00;2,00;9,05;Liquidé
0000642559;23/05/2013;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;1,58;1,58;387,00;Liquidé
0000638000;16/05/2013;PHYTOSANITAIRES;Fongicides  céréales;AVIATOR XPRO 5L;5,00;5,00;75,97;Liquidé
0000634407;13/05/2013;PHYTOSANITAIRES;Herbicides céréales;AXIAL PRATIC 5 L;10,00;10,00;35,50;Liquidé
0000634407;13/05/2013;PHYTOSANITAIRES;Adjuvants;CANTOR 3 L;3,00;3,00;26,60;Liquidé
0000634407;13/05/2013;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;78,15;Liquidé
0000634407;13/05/2013;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,03;0,03;229,00;Liquidé
0000634407;13/05/2013;PHYTOSANITAIRES;Anti-limaces;SUPPRIME/METAREX RG TDS 20KG;4,00;4,00;100,99;Liquidé
0000634407;13/05/2013;SEMENCES;Tournesol oléique;TO.OL FERTI D150MG;2,00;2,00;226,04;Liquidé
0000632118;07/05/2013;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;5,64;5,64;387,00;Liquidé
0000626949;30/04/2013;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 8M;1,00;1,00;78,15;Liquidé
0000626949;30/04/2013;QUINCAILLERIE EQUIPE;Films plastiques;FILM ENSIL ENSIGAMM 14m;1,00;1,00;78,15;Liquidé
0000626949;30/04/2013;PHYTOSANITAIRES;Adjuvants;TECHNOMOUSSE 500 ML;1,00;1,00;20,40;Liquidé
0000626949;30/04/2013;PHYTOSANITAIRES;Anti-limaces;EXTRALUGEC TECHN'O 15KG;15,00;15,00;4,58;Liquidé
0000626949;30/04/2013;ALIMENTS;Minéraux  sel blocs;SEL MER ESSORE LA BALEINE  SAC 25KG;0,03;0,03;229,00;Liquidé
0000616329;18/04/2013;PHYTOSANITAIRES;Herbicides céréales;BOFIX 20 L;20,00;20,00;11,23;Liquidé
0000611511;15/04/2013;PHYTOSANITAIRES;Fongicides  céréales;BELL STAR 5 L;10,00;10,00;35,69;Liquidé
0000611511;15/04/2013;QUINCAILLERIE EQUIPE;Recyclage;SAC ADIVALOR 500L;2,00;2,00;0,00;Liquidé
0000598760;27/03/2013;PHYTOSANITAIRES;Herbicides céréales;ATLANTIS WG 600 GR;2,00;2,00;77,00;Liquidé
0000598760;27/03/2013;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;3,50;3,50;387,00;Liquidé
0000597421;26/03/2013;PHYTOSANITAIRES;Herbicides céréales;CHARDEX 5 L;5,00;5,00;11,65;Liquidé
0000597428;26/03/2013;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;5,02;5,02;387,00;Liquidé
0000597567;26/03/2013;PHYTOSANITAIRES;Herbicides céréales;PRESITE SX  300G;1,00;1,00;86,12;Liquidé
0000589873;15/03/2013;PHYTOSANITAIRES;Herbicides céréales;PRESITE SX  300G;2,00;2,00;86,12;Liquidé
0000589873;15/03/2013;PHYTOSANITAIRES;Herbicides céréales;INTERDIT 01032015/ MEXTRA 5 L;15,00;15,00;19,10;Liquidé
0000589873;15/03/2013;PHYTOSANITAIRES;Herbicides céréales;ATLANTIS WG 600 GR;3,00;3,00;76,99;Liquidé
0000589873;15/03/2013;PHYTOSANITAIRES;Adjuvants;MIX-IN 5 L;10,00;10,00;3,18;Liquidé
0000589873;15/03/2013;ALIMENTS;Céréales;BLE EN 25 KG CRAFT;1,00;1,00;8,85;Liquidé
0000589873;15/03/2013;ALIMENTS;Céréales;MAIS EN 25 KG CRAFT;1,00;1,00;8,55;Liquidé
0000583462;06/03/2013;PHYTOSANITAIRES;Herbicides céréales;ATLANTIS WG 3 KG;3,00;3,00;119,07;Liquidé
0000583462;06/03/2013;PHYTOSANITAIRES;Herbicides céréales;INTERDIT 01032015/ MEXTRA 5 L;5,00;5,00;19,10;Liquidé
0000583462;06/03/2013;PHYTOSANITAIRES;Herbicides céréales;CHARDEX 5 L;15,00;15,00;11,65;Liquidé
0000581164;04/03/2013;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;7,02;7,02;387,00;Liquidé
0000581613;04/03/2013;FERTILISANTS;Engrais;AMMONITRE 33,5%    VR;2,60;2,60;387,00;Liquidé
0000572821;19/02/2013;PHYTOSANITAIRES;Herbicides céréales;INTERDIT 01032015/KALAO D+ 5 L;5,00;5,00;17,97;Liquidé
